first_name,last_name,state,party,district
Kildee,Daniel T.,Michigan,DEMOCRATIC,8
Kiley,Kevin,California,REPUBLICAN,3
Kilmer,Derek,Washington,DEMOCRATIC,6
Kim,Andy,New Jersey,DEMOCRATIC,3
Kim,Young,California,REPUBLICAN,40
Kind,Ron,Wisconsin,DEMOCRATIC,3
King,Angus S.,Maine,INDEPENDENT,
Kinzinger,Adam,Illinois,REPUBLICAN,16
Kirkpatrick,Ann,Arizona,DEMOCRATIC,2
Klobuchar,Amy,Minnesota,DEMOCRATIC,
Krishnamoorthi,Raja,Illinois,DEMOCRATIC,8
Kuster,Ann M.,New Hampshire,DEMOCRATIC,2
Kustoff,David,Tennessee,REPUBLICAN,8
LaHood,Darin,Illinois,REPUBLICAN,16
LaLota,Nick,New York,REPUBLICAN,1
LaMalfa,Doug,California,REPUBLICAN,1
Lamb,Conor,Pennsylvania,DEMOCRATIC,17
Lamborn,Doug,Colorado,REPUBLICAN,5
Landsman,Greg,Ohio,DEMOCRATIC,1
Langevin,James R.,Rhode Island,DEMOCRATIC,2
Langworthy,Nicholas A.,New York,REPUBLICAN,23
Lankford,James,Oklahoma,REPUBLICAN,
Larsen,Rick,Washington,DEMOCRATIC,2
Larson,John B.,Connecticut,DEMOCRATIC,1
Latta,Robert E.,Ohio,REPUBLICAN,5
LaTurner,Jake,Kansas,REPUBLICAN,2
Lawler,Michael,New York,REPUBLICAN,17
Lawrence,Brenda L.,Michigan,DEMOCRATIC,14
Lawson,Al,Florida,DEMOCRATIC,5
Leahy,Patrick J.,Vermont,DEMOCRATIC,
Lee,Barbara,California,DEMOCRATIC,12
Lee,Laurel M.,Florida,REPUBLICAN,15
Lee,Mike,Utah,REPUBLICAN,
Lee,Summer L.,Pennsylvania,DEMOCRATIC,12
Lee,Susie,Nevada,DEMOCRATIC,3
Leger Fernandez,Teresa,New Mexico,DEMOCRATIC,3
Lesko,Debbie,Arizona,REPUBLICAN,8
Letlow,Julia,Louisiana,REPUBLICAN,5
Levin,Andy,Michigan,DEMOCRATIC,9
Levin,Mike,California,DEMOCRATIC,49
