first_name,last_name,state,party,district,official_channel,campaign_channel
De La Cruz,Monica,Texas,REPUBLICAN,15,https://www.youtube.com/@monicadelacruzforu.s.congr5521,https://www.youtube.com/@monicadelacruzforcongress1071
Dean,Madeleine,Pennsylvania,DEMOCRATIC,4,https://www.youtube.com/@madeleinedeanforunitedstat8634,
DeFazio,Peter A.,Oregon,DEMOCRATIC,4,https://www.youtube.com/@defazio4congress,https://www.youtube.com/@AndTheGoddessSpoke
DeGette,Diana,Colorado,DEMOCRATIC,1,https://www.youtube.com/@RepDianaDeGette,https://www.youtube.com/@dianadegetteforcongress4851
DeLauro,Rosa L.,Connecticut,DEMOCRATIC,3,https://www.youtube.com/@RosaDeLauro,https://www.youtube.com/@rosadelauroforcongress7372
DelBene,Suzan K.,Washington,DEMOCRATIC,1,https://www.youtube.com/@RepSuzanDelBene,https://www.youtube.com/@delbeneforcongress
Delgado,Antonio,New York,DEMOCRATIC,19,https://www.youtube.com/@repantoniodelgado,https://www.youtube.com/@antoniodelgado6635
Deluzio,Christopher R.,Pennsylvania,DEMOCRATIC,17,https://www.youtube.com/@chrisdeluzio9707,https://www.youtube.com/@chrisdeluzioforcongress9870
Demings,Val Butler,Florida,DEMOCRATIC,10,https://www.youtube.com/@valdemings2988,https://www.youtube.com/@representativevaldemings7397
DeSaulnier,Mark,California,DEMOCRATIC,10,https://www.youtube.com/@DeSaulnier4Congress,https://www.youtube.com/@jonathanuriarte1132
DesJarlais,Scott,Tennessee,REPUBLICAN,4,https://www.youtube.com/@ScottDesJarlaisTN04,https://www.youtube.com/@Stewart4TN
Deutch,Theodore E.,Florida,DEMOCRATIC,22,https://www.youtube.com/channel/UC8bUu1VQiCESd4jYXfesVwA,
Diaz-Balart,Mario,Florida,REPUBLICAN,26,https://www.youtube.com/@MarioDiazBalart,https://www.youtube.com/@MarioDBforCongress
Dingell,Debbie,Michigan,DEMOCRATIC,6,https://www.youtube.com/@RepDebbieDingell,https://www.youtube.com/@dipgadvocacygroup2581
Doggett,Lloyd,Texas,DEMOCRATIC,37,https://www.youtube.com/@replloyddoggett,https://www.youtube.com/@lloyddoggetttx4098
Donalds,Byron,Florida,REPUBLICAN,19,https://www.youtube.com/@ByronDonaldsforCongress,https://www.youtube.com/@congressmanbyrondonalds7524
Doyle,Michael F.,Pennsylvania,DEMOCRATIC,18,https://www.youtube.com/@Reading11850,https://www.youtube.com/@MMadiganForCongress
Duarte,John S.,California,REPUBLICAN,13,https://www.youtube.com/@johnduarteforcongress9167,https://www.youtube.com/@congressionalintegrity
Duckworth,Tammy,Illinois,DEMOCRATIC,,https://www.youtube.com/@TammyDuckworthforIllinois,https://www.youtube.com/@SenDuckworth
Duncan,Jeff,South Carolina,REPUBLICAN,3,https://www.youtube.com/@RepJeffDuncan,https://www.youtube.com/@jeffduncan9612
Dunn,Neal P.,Florida,REPUBLICAN,2,https://www.youtube.com/@nealdunnforcongress6782,https://www.youtube.com/@dr.nealdunn3403
Durbin,Richard J.,Illinois,DEMOCRATIC,,https://www.youtube.com/@SenatorDurbin,https://www.youtube.com/@americanlatvianassociation6781
Edwards,Chuck,North Carolina,REPUBLICAN,11,https://www.youtube.com/@chuckedwardsforcongress7699,https://www.youtube.com/@MrACharlesE
Ellzey,Jake,Texas,REPUBLICAN,6,https://www.youtube.com/@CommanderEllzey,https://www.youtube.com/@jakeellzey4803
Emmer,Tom,Minnesota,REPUBLICAN,6,https://www.youtube.com/@emmerforcongress1715,https://www.youtube.com/@reptomemmer
Ernst,Joni,Iowa,REPUBLICAN,,https://www.youtube.com/@senjoniernst,https://www.youtube.com/@kingforcongress
Escobar,Veronica,Texas,DEMOCRATIC,16,https://www.youtube.com/@repescobar,https://www.youtube.com/@VeronicaEscobarTX
Eshoo,Anna G.,California,DEMOCRATIC,16,https://www.youtube.com/@RepAnnaEshoo,https://www.youtube.com/@kevinmullinforcongress339
Espaillat,Adriano,New York,DEMOCRATIC,13,https://www.youtube.com/@RepEspaillat,https://www.youtube.com/@Adriano4Congress
Estes,Ron,Kansas,REPUBLICAN,4,https://www.youtube.com/@RepRonEstes,https://www.youtube.com/@RonEstesKansas
Evans,Dwight,Pennsylvania,DEMOCRATIC,3,https://www.youtube.com/@dwightevans2700,https://www.youtube.com/@congressmandwightevans5988
Ezell,Mike,Mississippi,REPUBLICAN,4,https://www.youtube.com/@mikeezellforcongress5846,https://www.youtube.com/@sunheraldbiloxi
Fallon,Pat,Texas,REPUBLICAN,4,https://www.youtube.com/@RepPatFallon,https://www.youtube.com/@patfallon9594
Feenstra,Randy,Iowa,REPUBLICAN,4,https://www.youtube.com/@randyfeenstra2323,https://www.youtube.com/@rep.randyfeenstra1831
Feinstein,Dianne,California,DEMOCRATIC,,https://www.youtube.com/@SenatorFeinstein,https://www.youtube.com/@KolHaolamNews
Ferguson,A. Drew,Georgia,REPUBLICAN,3,https://www.youtube.com/@RepDrewFerguson,https://www.youtube.com/@infofergusonforcongress2879
Fetterman,John,Pennsylvania,DEMOCRATIC,,https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/@DontWalkRUN
Finstad,Brad,Minnesota,REPUBLICAN,1,https://www.youtube.com/@repfinstad,
Fischbach,Michelle,Minnesota,REPUBLICAN,7,https://www.youtube.com/@RepFischbach,https://www.youtube.com/@fischbachmn7
Fischer,Deb,Nebraska,REPUBLICAN,,https://www.youtube.com/@SenatorDebFischer,https://www.youtube.com/@DonBaconforCongress
Fitzgerald,Scott,Wisconsin,REPUBLICAN,5,https://www.youtube.com/@congressmanscottfitzgerald2988,https://www.youtube.com/channel/UCIwnw465uViefv4kntXabKQ
Fitzpatrick,Brian K.,Pennsylvania,REPUBLICAN,1,https://www.youtube.com/@brianfitzpatrickforcongres7086,https://www.youtube.com/@brianfitzpatrickforcongres3644
Fleischmann,Charles J.,Tennessee,REPUBLICAN,3,https://www.youtube.com/@chuck4congress,https://www.youtube.com/@RepChuck
Fletcher,Lizzie,Texas,DEMOCRATIC,7,https://www.youtube.com/@lizziepannillfletcherforco9630,https://www.youtube.com/@RepFletcher
Flood,Mike,Nebraska,REPUBLICAN,1,https://www.youtube.com/@mikefloodforcongress5484,https://www.youtube.com/@Markdunecforcongress
Flores,Mayra,Texas,REPUBLICAN,34,https://www.youtube.com/@mayraflores7075,https://www.youtube.com/@repmayraflores
Fortenberry,Jeff,Nebraska,REPUBLICAN,1,https://www.youtube.com/@JeffFortenberry,https://www.youtube.com/@jefffortenberryforunitedst5934
Foster,Bill,Illinois,DEMOCRATIC,11,https://www.youtube.com/@RepBillFoster,https://www.youtube.com/@foster4congress
Foushee,Valerie P.,North Carolina,DEMOCRATIC,4,https://www.youtube.com/@DukeChronicle,https://www.youtube.com/@NCLBC
Foxx,Virginia,North Carolina,REPUBLICAN,5,https://www.youtube.com/@VirginiaFoxx,https://www.youtube.com/@RepVirginiaFoxx
Frankel,Lois,Florida,DEMOCRATIC,22,https://www.youtube.com/@RepLoisFrankel,https://www.youtube.com/@LoisFrankel1
